0:0:0:0:0:0:0:1 - - [11/Dec/2019:04:01:51 -0500] "POST /cs336Final/reservationFlightNumber.jsp HTTP/1.1" 200 904
0:0:0:0:0:0:0:1 - - [11/Dec/2019:04:01:59 -0500] "GET /cs336Final/success.jsp HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [11/Dec/2019:04:02:00 -0500] "GET /cs336Final/sales.jsp HTTP/1.1" 200 2504
0:0:0:0:0:0:0:1 - - [11/Dec/2019:04:03:36 -0500] "POST /cs336Final/revenueCustomer.jsp HTTP/1.1" 200 607
0:0:0:0:0:0:0:1 - - [11/Dec/2019:04:03:38 -0500] "GET /cs336Final/success.jsp HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [11/Dec/2019:04:03:39 -0500] "GET /cs336Final/sales.jsp HTTP/1.1" 200 2504
0:0:0:0:0:0:0:1 - - [11/Dec/2019:04:03:43 -0500] "POST /cs336Final/revenueFlight.jsp HTTP/1.1" 200 705
0:0:0:0:0:0:0:1 - - [11/Dec/2019:04:03:46 -0500] "GET /HomePages/ManagerHome.jsp HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [11/Dec/2019:04:03:47 -0500] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [11/Dec/2019:04:03:53 -0500] "POST /cs336Final/revenueFlight.jsp HTTP/1.1" 200 705
0:0:0:0:0:0:0:1 - - [11/Dec/2019:04:03:59 -0500] "GET /cs336Final/sales.jsp HTTP/1.1" 200 2504
0:0:0:0:0:0:0:1 - - [11/Dec/2019:04:04:02 -0500] "POST /cs336Final/revenueFlight.jsp HTTP/1.1" 200 705
0:0:0:0:0:0:0:1 - - [11/Dec/2019:04:04:15 -0500] "POST /cs336Final/revenueFlight.jsp HTTP/1.1" 200 703
0:0:0:0:0:0:0:1 - - [11/Dec/2019:04:06:37 -0500] "GET /ManagerFunctionality/StarCustomers.jsp HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [11/Dec/2019:04:06:37 -0500] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [11/Dec/2019:04:20:40 -0500] "GET /cs336Final/sales.jsp HTTP/1.1" 200 2504
0:0:0:0:0:0:0:1 - - [11/Dec/2019:04:23:35 -0500] "GET /cs336Final/sales.jsp HTTP/1.1" 200 2488
0:0:0:0:0:0:0:1 - - [11/Dec/2019:04:23:46 -0500] "GET /cs336Final/revenueMostByCustomer.jsp HTTP/1.1" 200 685
0:0:0:0:0:0:0:1 - - [11/Dec/2019:04:23:46 -0500] "GET /favicon.ico HTTP/1.1" 404 1047
