127.0.0.1 - - [06/Dec/2019:01:52:08 -0500] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [06/Dec/2019:01:52:09 -0500] "GET /cs336Final/ HTTP/1.1" 200 486
0:0:0:0:0:0:0:1 - - [06/Dec/2019:01:52:17 -0500] "POST /cs336Final/checkLoginDetails.jsp HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [06/Dec/2019:01:52:19 -0500] "GET /cs336Final/login.jsp HTTP/1.1" 200 486
0:0:0:0:0:0:0:1 - - [06/Dec/2019:01:52:26 -0500] "POST /cs336Final/checkLoginDetails.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Dec/2019:01:52:26 -0500] "GET /cs336Final/success.jsp HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [06/Dec/2019:01:52:31 -0500] "GET /cs336Final/sales.jsp HTTP/1.1" 200 444
0:0:0:0:0:0:0:1 - - [06/Dec/2019:01:52:35 -0500] "GET /cs336Final/editCustomer.jsp HTTP/1.1" 200 2023
0:0:0:0:0:0:0:1 - - [06/Dec/2019:01:53:07 -0500] "POST /cs336Final/addUser.jsp HTTP/1.1" 500 5170
0:0:0:0:0:0:0:1 - - [06/Dec/2019:01:57:07 -0500] "POST /cs336Final/addUser.jsp HTTP/1.1" 500 2703
0:0:0:0:0:0:0:1 - - [06/Dec/2019:01:59:51 -0500] "POST /cs336Final/addUser.jsp HTTP/1.1" 500 5099
0:0:0:0:0:0:0:1 - - [06/Dec/2019:02:07:56 -0500] "GET /cs336Final/ HTTP/1.1" 200 486
0:0:0:0:0:0:0:1 - - [06/Dec/2019:02:08:09 -0500] "POST /cs336Final/checkLoginDetails.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Dec/2019:02:08:09 -0500] "GET /cs336Final/success.jsp HTTP/1.1" 200 417
0:0:0:0:0:0:0:1 - - [06/Dec/2019:02:08:41 -0500] "GET /cs336Final/success.jsp HTTP/1.1" 200 417
0:0:0:0:0:0:0:1 - - [06/Dec/2019:02:08:43 -0500] "GET /cs336Final/success.jsp HTTP/1.1" 200 417
0:0:0:0:0:0:0:1 - - [06/Dec/2019:02:08:48 -0500] "GET /cs336Final/success.jsp HTTP/1.1" 200 417
0:0:0:0:0:0:0:1 - - [06/Dec/2019:02:09:10 -0500] "GET /cs336Final/ HTTP/1.1" 200 486
0:0:0:0:0:0:0:1 - - [06/Dec/2019:02:09:19 -0500] "POST /cs336Final/checkLoginDetails.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Dec/2019:02:09:19 -0500] "GET /cs336Final/success.jsp HTTP/1.1" 200 399
0:0:0:0:0:0:0:1 - - [06/Dec/2019:02:09:26 -0500] "GET /cs336Final/editCustomer.jsp HTTP/1.1" 200 2023
